"x";"y";"t"
61;25;"2014-01-01 05:45:33"
20;35;"2014-01-01 05:47:01"
47;21;"2014-01-01 05:47:06"
61;43;"2014-01-01 05:47:48"
55;56;"2014-01-01 05:49:03"
55;12;"2014-01-01 05:49:03"
47;15;"2014-01-01 05:49:04"
24;15;"2014-01-01 05:49:06"
55;3;"2014-01-01 05:50:55"
55;8;"2014-01-01 05:50:55"
55;9;"2014-01-01 05:50:55"
24;47;"2014-01-01 05:51:11"
35;20;"2014-01-01 05:51:19"
56;19;"2014-01-01 05:51:50"
25;3;"2014-01-01 05:52:00"
12;19;"2014-01-01 05:52:38"
55;18;"2014-01-01 05:52:45"
55;27;"2014-01-01 05:52:46"
55;11;"2014-01-01 05:52:46"
43;8;"2014-01-01 05:52:55"
35;19;"2014-01-01 05:53:13"
24;21;"2014-01-01 05:53:15"
47;24;"2014-01-01 05:53:17"
19;27;"2014-01-01 05:54:02"
8;19;"2014-01-01 05:54:06"
55;22;"2014-01-01 05:54:40"
55;40;"2014-01-01 05:54:40"
55;14;"2014-01-01 05:54:40"
55;5;"2014-01-01 05:54:47"
55;43;"2014-01-01 05:54:47"
55;7;"2014-01-01 05:54:47"
7;19;"2014-01-01 05:54:54"
43;25;"2014-01-01 05:54:57"
2;19;"2014-01-01 05:55:01"
35;11;"2014-01-01 05:55:02"
14;9;"2014-01-01 05:55:16"
19;22;"2014-01-01 05:55:54"
40;35;"2014-01-01 05:56:07"
8;11;"2014-01-01 05:56:14"
8;25;"2014-01-01 05:56:14"
23;35;"2014-01-01 05:56:35"
55;4;"2014-01-01 05:56:48"
43;23;"2014-01-01 05:56:52"
13;21;"2014-01-01 05:56:53"
13;15;"2014-01-01 05:56:53"
13;9;"2014-01-01 05:57:00"
2;5;"2014-01-01 05:57:00"
2;1;"2014-01-01 05:57:00"
14;13;"2014-01-01 05:57:10"
15;13;"2014-01-01 05:57:25"
9;14;"2014-01-01 05:57:28"
45;7;"2014-01-01 05:57:30"
9;27;"2014-01-01 05:57:32"
56;9;"2014-01-01 05:57:38"
56;21;"2014-01-01 05:57:38"
25;61;"2014-01-01 05:57:39"
61;8;"2014-01-01 05:57:42"
19;2;"2014-01-01 05:57:45"
19;21;"2014-01-01 05:57:45"
27;15;"2014-01-01 05:58:03"
27;21;"2014-01-01 05:58:03"
27;24;"2014-01-01 05:58:03"
8;17;"2014-01-01 05:58:03"
10;43;"2014-01-01 05:58:13"
23;22;"2014-01-01 05:58:24"
23;45;"2014-01-01 05:58:24"
55;46;"2014-01-01 05:58:39"
43;22;"2014-01-01 05:58:46"
43;17;"2014-01-01 05:58:46"
43;10;"2014-01-01 05:58:46"
13;1;"2014-01-01 05:58:49"
7;17;"2014-01-01 05:58:56"
3;16;"2014-01-01 05:59:00"
3;11;"2014-01-01 05:59:00"
2;8;"2014-01-01 05:59:00"
2;12;"2014-01-01 05:59:00"
14;1;"2014-01-01 05:59:04"
35;22;"2014-01-01 05:59:12"
35;23;"2014-01-01 05:59:18"
47;14;"2014-01-01 05:59:19"
47;13;"2014-01-01 05:59:19"
16;22;"2014-01-01 05:59:21"
35;10;"2014-01-01 05:59:24"
9;21;"2014-01-01 05:59:24"
9;15;"2014-01-01 05:59:24"
25;11;"2014-01-01 05:59:28"
45;22;"2014-01-01 05:59:30"
15;9;"2014-01-01 05:59:32"
1;2;"2014-01-01 05:59:34"
1;5;"2014-01-01 05:59:34"
1;3;"2014-01-01 05:59:38"
1;8;"2014-01-01 05:59:38"
11;3;"2014-01-01 05:59:38"
19;11;"2014-01-01 05:59:39"
11;19;"2014-01-01 05:59:42"
11;22;"2014-01-01 05:59:42"
56;8;"2014-01-01 05:59:43"
